organization number,orgnum of the chain,orgnum of rented property's owner
973471198,,
973471589,,
973471651,,983974929
973471686,,
973471708,,
973471716,,
973471767,,
973471775,,975950662
973471783,,988535060
973471791,,878620852
973471805,,
973471813,,
973471872,,
973471910,,
973471961,,
973472003,,
973472321,,920615791
973472348,,
973472429,,
973472437,,
973472461,,
973472496,,
973474332,,
973474871,,
973474898,,
973474936,,964949859
973476068,,
973476076,878620852,925335894
973476173,,
973476203,,953510324
973476556,,964977402
973477986,,
973479393,,
973479881,,995672448
973479903,967405639,948007029
973480855,,
973481681,,
973481886,,
973482068,,
973482599,,
973482866,,
973482963,927365111,927365111
973482971,,990646740
973483072,,
973483285,,994884832
973483463,,
973483471,,
973483528,,
973483536,,
973483552,,977564751
973483609,986554270,999244564
973483617,,950295090
973483625,,
973484060,938641862,919201606
973484087,,
973484109,,
973484230,,
973484257,878620852,925335894
973484265,,
973484273,,993201103
973484338,,
973484486,,
973484494,,
973484532,,
973484583,,
973484656,,
973484672,,
973484729,,958935420
973484745,,996096319
973484761,878620852,925335894
973485202,,
973485237,,
973485318,,
973485377,,
973485431,,
973485458,,
973485830,,
973485849,,
973486012,,
973486047,,
973486055,,924599545
973486063,,951077437
973487493,,
973487507,,
973487523,,
973488562,878620852,
973488570,,
973488589,,
973488600,,
973488651,,915519016
973489186,,
973489259,985996296,985996296
973489321,,
973489348,,
973489372,,
973489542,,
973489550,,
973489577,,
973489623,,945820241
973489631,,899214862
973489658,,
973489844,971272643,
973490125,994312014,
973490133,,987421304
973490141,,983820549
973490273,,
973490494,,
973491059,,
973491083,,
973493701,,
973494007,,
973494368,,876820722
973494406,,880309102
973494422,,
973494589,,
973494597,,
973494600,,
973494627,,
973494635,,
973494651,938641862,991798242
973494716,,
973494724,,
973494732,,
973494759,,977391946
973494783,,
973494899,,
973497820,,
973498274,,980374505
973498525,,
973500422,,944117784
973500473,,
973500716,,
973500791,,989704303
973500848,,
973500988,989164902,920125298
973501054,,988038350
973501119,,
973501151,,
973501283,,991015965
973501313,,923139273
973501372,,
973501437,,972417920
973501453,,874778702
973501593,977545528,
973501704,,
973501879,,
973501925,,
973502018,,
973502050,,
973502093,,
973502131,,
973502263,,
973502514,,
973502549,,987059729
973502565,,
973502611,,942110464
973502638,,
973502646,,980390160
973502670,,
973502697,,
973502743,,989460293
973502883,986554270,996920917
973502948,,
973503006,,
973503014,,974341468
973503049,,
973503057,,
973503065,,
973503073,,
973503081,,
973503111,,
973503189,,
973503197,,
973504096,986554270,996920917
973508032,,
973512013,946272620,
973512080,,
973512412,,
973512560,878620852,925335894
973512692,878620852,
973512706,,912510379
973512927,,
973512935,,
973512943,,
973513060,,874237442
973513109,,
973513141,,
973513303,,
973513427,,
973513435,,
973513516,878620852,925335894
973513532,,
973513559,,
973513699,,
973513826,,
973513834,991926577,
973513974,,
973514067,,979251106
973519662,,
973535765,,976993683
973546007,,
973546813,971375914,
973549529,,
973578898,,
973581570,957109713,
973587331,,
973589032,,
973589245,,999214843
973594117,,
973594656,,986104623
973595199,,
973595202,,
973595504,,
973596683,971272643,920125298
973597639,,976986253
973598104,,
973598112,,
973598430,,
973600826,951103217,914310148
973600834,951103217,951103217
973601849,,
973602993,,
973603795,,
973603825,,
973606018,878620852,
973608223,958673027,
973608746,,
973608770,,
973608797,,
973608800,,
973608827,,
973608835,,
973608843,,
973608851,,
973609009,,
973610317,,
973610341,,
973611976,,
973632574,,
973644653,878620852,
973652885,878620852,925335894
973656546,886308922,
973664883,,
973669885,,
973670786,,
973671715,,979582773
973672762,,
973676695,,976662156
973677284,986554270,996920917
973683225,878620852,
973688197,,
973700243,,996834026
973704869,,
973706160,,
973710397,,
973712705,878620852,
973716492,985996296,985996296
973719025,,969358085
973720317,,
973722271,,
973730215,991926577,
973730894,,998181712
973737260,,
973740806,,
973744445,,
973746901,,
973747223,,
973750399,,
973754645,,
973754769,819780722,917151229
973755706,,
973758659,,
973761773,,925880876
973763881,,971357932
973764322,,
973765051,,
973766066,,
973766589,,
973768492,,
973770616,,
973771604,,
973772503,,
973777270,,
973782975,,974778807
973784749,,
973784757,,
973784781,,
973784803,,
973784811,,
973784838,,
973789120,,
973795120,,
973798103,,
973800523,,973055321
973803956,,
973804049,978605702,987213450
973810103,,938431744
973810944,,
973811495,,971322624
973812246,,
973815903,,
973817426,,
973817493,,
973819356,,
973819364,,
973826875,,971422777
973829688,,
973831623,,
973831674,,
973831682,,
973831690,,
973831704,,
973831828,,
973837117,,986775412
973842013,,
973842021,,
973843605,,
973857576,,
973857606,,
973861905,971272643,923609016
973862340,960033590,
973863266,,
973863339,,
973863347,,
973863576,,
973863878,,
973863959,,
973863967,,
973863975,,
973864033,,
973864483,,
973868756,879439482,
973872060,,
973872583,,
973873741,946272620,
973877070,,971341998
973889982,,
973896563,,
973898825,,
973898833,,
973899228,,
973900722,,
973900749,,
973906887,,970145311
973908464,,971342366
973908588,,
973912186,,
973915509,,
973924680,,
973924699,,
973924702,,
973931733,,951757756
973932705,,954644898
973933957,,
973934066,979737459,
973936301,,
973936743,917891702,996980111
973943812,987382163,974780747
973945319,,
973945718,,
973946188,878620852,925335894
973948172,,
973949608,,
973953745,,
973953826,,
973953869,,
973954792,986554270,999244564
973964119,971272643,
973965204,,
973965220,,
973967630,,
973971735,,
973982729,,971305576
973984667,,
973989677,989065971,
973999389,,971198559
973999427,,
974000997,,
974001292,,
974002310,977545528,
974007762,,
974008548,,
974010534,,
974010623,,
974011522,,
974011530,,
974012669,,
974013568,,
974015226,,
974017598,,
974017911,,
974020750,,
974022222,,
974022877,,
974025272,,
974025868,,
974027178,,
974028026,,
974029960,,
974037149,,
974037424,,
974037971,,
974042584,,
974043483,,
974043769,,
974044439,,
974044889,,
974045982,,
974046245,,
974047136,,
974048507,,
974048515,,
974048760,,
974049228,,
974049562,,
974049732,,
974050501,,
974052091,,
974052113,,
974052423,,
974052571,,
974052962,,
974053462,,
974053748,,
974055619,,
974058537,,
974058545,,
974058553,,
974058588,,
974058596,,
974061376,,
974061643,,
974061775,,
974064561,,
974065037,,
974065800,,
974066432,,
974066734,,
974093065,886308922,
974102226,,985627894
974102382,,
974121557,,
974122081,,
974122545,,
974134985,886308922,
974136171,,
974142740,,990834210
974142791,886308922,
974143003,886308922,
974143097,,977278651
974145561,886308922,
974146037,886308922,915578772
974146231,,
974146444,,970996435
974146460,886308922,
974146584,886308922,
974146592,,
974147580,886308922,
974149125,886308922,
974156164,886308922,
974156172,886308922,
974156202,,
974156237,886308922,
974156245,,
974156253,,974695154
974156261,886308922,
974156318,,922889996
974156342,886308922,
974156423,886308922,
974156431,886308922,
974156458,,
974157187,,971406828
974158507,992598778,
974179229,,
974179571,886308922,917865035
974180871,,
974180944,,
974181053,878620852,971313013
974183129,,
974183293,,
974183412,,985987246
974183455,,971525614
974183536,,914408474
974183552,,
974183730,886308922,974116278
974184338,,
974184362,985850062,
974185431,,
974185563,976993616,
974185598,,
974186829,,
974187248,,
974187477,,
974187515,946272620,
974187531,,
974187558,,
974187574,946272620,
974187604,920215335,926284185
974187620,886308922,
974187663,986554270,999244564
974188120,,958514123
974188155,,
974188465,,
974188546,,938111545
974190079,,821311632
974193612,,919216069
974194554,957109713,
974194570,,991253122
974194678,956918863,
974194937,946272620,
974195127,957109713,
974195135,,971254963
974195240,971272643,920125298
974196492,,
974197286,957109713,
974197901,,922209264
974201844,,
974201852,,
974203235,,
974203243,938641862,997339851
974204592,,
974204622,,
974204762,,951757756
974205076,946272620,
974205157,,
974205165,,998594995
974205181,,
974207540,878620852,925335894
974220512,,
974222027,,
974222035,,
974222043,,
974222051,,
974222388,,971352272
974223481,986554270,996920917
974224356,,
974224917,,996937372
974225867,986554270,999244564
974225875,986554270,999244564
974283956,985850062,
974287137,878620852,972417971
974288028,,
974288346,,971491000
974294443,,974789264
974305658,,971028300
974309327,,
974315483,,976994264
974321254,,
974322706,,
974322889,,
974325489,,
974325543,,
974336316,,960276965
974374307,,940208580
974379422,,
974385341,,
974402874,878620852,925335894
974460335,,974240564
974476932,991926577,
974503913,,969190826
974509679,878620852,925335894
974512971,,
974540630,,971187999
974542412,,
974542730,,
974542749,,
974542757,,
974544237,,
974544245,,
974544253,,
974544261,,
974544288,,
974544296,,
974545845,,
974545888,,
974546108,,
974546132,,
974547686,,
974547767,,
974548437,,
974548445,,
974548453,,
974548461,,
974548895,,
974548909,,
974548925,,
974550040,,
974551497,,
974551519,,
974551527,,
974553740,,
974553775,,
974553791,,
974553805,,
974553813,,
974553821,,
974553848,,
974553856,,
974553864,,
974553872,,
